stamp,fr_tire_temp_04,fr_tire_temp_03,fr_tire_temp_02,fr_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=748766836)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=748766836)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=749224887)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=749224887)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=749224887)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=749224887)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=749224887)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=749224887)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=754608620)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=754608620)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=754608620)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=754608620)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=748799198)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=748799198)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=748799198)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=748799198)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=748799198)",-100.0,-100.0,-100.0,-100.0
