stamp,source_topic,message_data_length
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=617566594)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611737671)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=622074048)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=619875252)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=639285992)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631798933)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=639742497)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=632200938)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=640255799)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=632632681)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=640584501)",/novatel_top/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=633176590)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=640878228)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=635766165)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=645949195)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=643922578)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=654059422)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651768718)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661182344)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=659128476)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=669067594)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=668004302)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=683304528)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=680087570)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=683810976)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=680491108)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=684540339)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=680953597)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=684967040)",/novatel_top/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681343551)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=685557933)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=683733284)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=693169583)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691928998)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=699945232)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=701022170)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=707817292)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=710009783)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=715792985)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=718358330)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=724634648)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=726825720)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731200261)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=733714693)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=732036558)",/novatel_side/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=734184050)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=732375155)",/novatel_side/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=734534206)",/novatel_top/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=732680040)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=735047877)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=739781722)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=742212708)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=747736497)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=750047451)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=755833549)",/novatel_side/oem7raw,56
