stamp,marelli_track_flag,marelli_vehicle_flag,marelli_sector_flag,marelli_rc_base_sync_check,marelli_rc_lte_rssi
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=22822003)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=33203331)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=42806591)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=52762600)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=65335942)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=72953164)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=82996457)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=92793266)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=102791091)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=112807842)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=122766200)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=132792164)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=142804294)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=152770548)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=162795726)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=172771744)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=182779810)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=192782432)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=202802240)",1,0,0,True,-41.0
