stamp,fl_tire_temp_04,fl_tire_temp_03,fl_tire_temp_02,fl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747786142)",24.30000000000001,23.60000000000001,23.80000000000001,24.400000000000006
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747786142)",24.30000000000001,23.60000000000001,23.80000000000001,24.400000000000006
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747786142)",24.30000000000001,23.60000000000001,23.80000000000001,24.400000000000006
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747786142)",24.30000000000001,23.60000000000001,23.80000000000001,24.400000000000006
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=747786142)",24.30000000000001,23.60000000000001,23.80000000000001,24.400000000000006
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=747782514)",25.30000000000001,25.5,24.30000000000001,25.5
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=747782514)",25.30000000000001,25.5,24.30000000000001,25.5
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=747782514)",25.30000000000001,25.5,24.30000000000001,25.5
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=747782514)",25.30000000000001,25.5,24.30000000000001,25.5
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=747782514)",25.30000000000001,25.5,24.30000000000001,25.5
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748008487)",24.700000000000003,25.60000000000001,23.900000000000006,24.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748008487)",24.700000000000003,25.60000000000001,23.900000000000006,24.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748008487)",24.700000000000003,25.60000000000001,23.900000000000006,24.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748008487)",24.700000000000003,25.60000000000001,23.900000000000006,24.0
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=748008487)",24.700000000000003,25.60000000000001,23.900000000000006,24.0
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=747788174)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=747788174)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=747788174)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=747788174)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=747788174)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=747861732)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=747861732)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=747861732)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=747861732)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=747861732)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=747861732)",23.900000000000006,23.900000000000006,22.700000000000003,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=754487531)",25.10000000000001,25.200000000000003,23.80000000000001,25.400000000000006
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=754487531)",25.10000000000001,25.200000000000003,23.80000000000001,25.400000000000006
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=754487531)",25.10000000000001,25.200000000000003,23.80000000000001,25.400000000000006
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=754487531)",25.10000000000001,25.200000000000003,23.80000000000001,25.400000000000006
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=747875369)",25.80000000000001,24.10000000000001,24.80000000000001,25.60000000000001
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=747875369)",25.80000000000001,24.10000000000001,24.80000000000001,25.60000000000001
