stamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=450894472)",0.0,0.0,0.0,-0.016768744215369225,-0.006549662444740534,0.5946530699729919,0.8037808537483215
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=460893448)",0.0,0.0,0.0,-0.01682264357805252,-0.0065331170335412025,0.5946569442749023,0.8037769794464111
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=470897288)",0.0,0.0,0.0,-0.01686006598174572,-0.006474791094660759,0.5946621298789978,0.8037728071212769
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=480898336)",0.0,0.0,0.0,-0.016884062439203262,-0.006455652881413698,0.5946748852729797,0.8037630915641785
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=490899360)",0.0,0.0,0.0,-0.01685948111116886,-0.006479680072516203,0.5946826934814453,0.8037576079368591
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=500898336)",0.0,0.0,0.0,-0.01683846488595009,-0.006483567412942648,0.5946860909461975,0.8037554621696472
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=510903688)",0.0,0.0,0.0,-0.016877178102731705,-0.006472273264080286,0.5946819186210632,0.8037577867507935
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=520905736)",0.0,0.0,0.0,-0.016889987513422966,-0.006451227702200413,0.5946663618087769,0.8037693500518799
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=530906248)",0.0,0.0,0.0,-0.016897259280085564,-0.006425413303077221,0.5946486592292786,0.8037824630737305
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=540903968)",0.0,0.0,0.0,-0.016895141452550888,-0.006443691905587912,0.5946269035339355,0.803798496723175
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=550908808)",0.0,0.0,0.0,-0.016888491809368134,-0.006439796183258295,0.5946000218391418,0.8038185238838196
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=560909600)",0.0,0.0,0.0,-0.016925666481256485,-0.006422612816095352,0.5945838689804077,0.8038297891616821
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=570911368)",0.0,0.0,0.0,-0.016929958015680313,-0.0064313337206840515,0.59457927942276,0.8038330078125
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=580910344)",0.0,0.0,0.0,-0.016898028552532196,-0.006427339743822813,0.5945841073989868,0.8038302063941956
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=590913928)",0.0,0.0,0.0,-0.01690826192498207,-0.00644014123827219,0.5946051478385925,0.8038142323493958
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=600914720)",0.0,0.0,0.0,-0.016913894563913345,-0.0064141759648919106,0.5946169495582581,0.8038056492805481
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=610916744)",0.0,0.0,0.0,-0.01695284992456436,-0.006385411135852337,0.59461909532547,0.8038033843040466
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=620915720)",0.0,0.0,0.0,-0.016966180875897408,-0.00638712290674448,0.5946187973022461,0.8038034439086914
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=630919304)",0.0,0.0,0.0,-0.016922207549214363,-0.006400740705430508,0.5946074724197388,0.803812563419342
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=650920608)",0.0,0.0,0.0,-0.016945673152804375,-0.006411194335669279,0.5945878624916077,0.8038265109062195
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=690925728)",0.0,0.0,0.0,-0.016935857012867928,-0.0063940053805708885,0.594570517539978,0.8038396835327148
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=700924704)",0.0,0.0,0.0,-0.016981685534119606,-0.006374456454068422,0.5945748686790466,0.8038355708122253
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=710928288)",0.0,0.0,0.0,-0.016991445794701576,-0.006373521406203508,0.5945791602134705,0.8038322329521179
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=720930824)",0.0,0.0,0.0,-0.01695522479712963,-0.006377310026437044,0.5945854187011719,0.8038283586502075
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=740932872)",0.0,0.0,0.0,-0.01699187606573105,-0.006367864552885294,0.5945973992347717,0.8038188219070435
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=760938248)",0.0,0.0,0.0,-0.016980737447738647,-0.006344846449792385,0.5945635437965393,0.8038442730903625
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=790947464)",0.0,0.0,0.0,-0.017001645639538765,-0.006343103479593992,0.5945203900337219,0.8038756847381592
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=810949280)",0.0,0.0,0.0,-0.017010029405355453,-0.006315562874078751,0.5945386290550232,0.8038623332977295
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=840954888)",0.0,0.0,0.0,-0.01708793453872204,-0.0062867202796041965,0.594536542892456,0.8038625121116638
