stamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=880959496)",0.003063526935875416,0.0007515314500778913,-0.0014904546551406384,-0.0006681238883174956,0.002980285556986928,0.003829724621027708
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=900963872)",0.002342063933610916,-0.003973541781306267,-0.0010653166100382805,-0.00851992517709732,-0.0009623709484003484,-0.002643429674208164
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=930968944)",0.0002769282436929643,-0.0049459976144135,-0.00408067274838686,0.0003483013133518398,0.0011748202377930284,-0.0011870389571413398
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=950970248)",-0.0018808385357260704,-0.0015387663152068853,-0.0011977144749835134,-0.0026953243650496006,0.00819165538996458,0.0071000223979353905
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=970972552)",0.003267719643190503,-0.002447325736284256,-0.004052960313856602,-0.013115999288856983,-0.002716242102906108,0.003012865548953414
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=980975112)",0.0017359730554744601,0.0007830731337890029,-0.004286497365683317,0.0005138769629411399,-0.0003739564272109419,0.005514612887054682
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=975112)",0.0022916060406714678,-0.002818366978317499,-0.0023069274611771107,-0.007896491326391697,-0.003247602842748165,0.0008592854719609022
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=70987632)",-0.00042660595499910414,-0.0021853281650692225,-0.0016597288195043802,0.00926490593701601,-0.0030305238906294107,0.008221673779189587
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=80985608)",0.0028276117518544197,0.0005969076883047819,0.0002752808795776218,-0.006886265240609646,-0.0040256790816783905,0.0011376590700820088
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=90989192)",-0.0009240884683094919,0.00035965489223599434,0.0009700792143121362,0.007470596581697464,-7.7360455179587e-05,-0.0007414389401674271
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=100989728)",-0.00857656728476286,-0.003698711981996894,-0.0014821389922872186,0.01927519589662552,0.006430948618799448,-0.0018995011923834682
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=110993824)",-0.006149861495941877,-0.008349021896719933,0.002354984637349844,-0.005812818184494972,-0.017291761934757233,-0.010238275863230228
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=120993800)",-0.008502925746142864,0.0031748150940984488,0.006378582213073969,-0.017033854499459267,-0.0088588185608387,-0.005476457066833973
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=130996384)",-0.005507738329470158,0.0012283409014344215,0.0024809432215988636,0.007709191646426916,0.0012514226837083697,0.003384715411812067
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=140999176)",-0.0048490553162992,-0.0029073189944028854,-0.0018388425232842565,0.017691437155008316,-0.005881456658244133,0.0031725289300084114
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=150999944)",-0.003168947994709015,-0.005675379186868668,0.0004435483133420348,0.00017924199346452951,-0.006338449660688639,-0.002577119506895542
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=160997664)",-0.005449844058603048,0.0006669305148534477,0.0029312754049897194,-0.0053100367076694965,-0.0017936851363629103,0.0005327026592567563
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171002248)",-0.0049563683569431305,-4.9161171773448586e-05,-0.00045258650789037347,0.01297846995294094,-0.0014130092458799481,0.005033232271671295
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181006600)",-0.006163555197417736,-0.0025430540554225445,-0.004425104707479477,0.013851326890289783,0.00297756539657712,0.0015245749382302165
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=191010440)",-0.002401504199951887,-0.0028280997648835182,-0.0009323183330707252,-0.007035148795694113,-0.007947494275867939,-0.006637754384428263
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201008160)",-0.00430148234590888,0.0027398811653256416,0.0024824892170727253,-0.00828203558921814,-0.003975663334131241,-0.005369443912059069
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211012744)",-0.004715980961918831,0.0014351147692650557,-0.00014231965178623796,0.011932278983294964,-0.004366297274827957,0.00031876080902293324
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221014280)",-0.005962220020592213,-0.0020185953471809626,-0.0026156131643801928,0.017917834222316742,0.004155220929533243,-0.001931358128786087
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231017864)",-0.0040010144002735615,-0.0023500139359384775,7.662973075639457e-06,-0.00038444832898676395,-0.007225173991173506,-0.00903957337141037
