stamp,frame_id,child_frame_id,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,rot_w
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=530337859)",world,ego_car,122.98638551140496,142.02370734631702,0.0,-0.0,0.0,0.9295412748631522,-0.36871807431394804
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=540019464)",world,ego_car,122.98632979033376,142.0237728099491,0.0,-0.0,0.0,0.9295382684510074,-0.3687256534133513
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=550175357)",world,ego_car,122.98633165456523,142.02364641749872,0.0,-0.0,0.0,0.9295381959257943,-0.36872583624560346
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=560282574)",world,ego_car,122.9863147613132,142.0236098197423,0.0,-0.0,0.0,0.9295367522933022,-0.36872947554544655
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=570344800)",world,ego_car,122.98629814028814,142.02357368540083,0.0,-0.0,0.0,0.9295363645663833,-0.3687304529716954
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=579969950)",world,ego_car,122.98628178866313,142.0235380124055,0.0,-0.0,0.0,0.9295355108818928,-0.36873260502637756
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=590374228)",world,ego_car,122.9862248607609,142.02353939392682,0.0,-0.0,0.0,0.9295372395877864,-0.3687282471136683
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=600035756)",world,ego_car,122.98620797932578,142.02350415544996,0.0,-0.0,0.0,0.9295368685583777,-0.36872918245059655
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=610623323)",world,ego_car,122.98619136663059,142.02346936322468,0.0,-0.0,0.0,0.9295375141614827,-0.36872755493248854
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=619953864)",world,ego_car,122.98617502001026,142.02343501520076,0.0,-0.0,0.0,0.929538234356566,-0.36872573936366015
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=629974416)",world,ego_car,122.98615893674561,142.02340110924206,0.0,-0.0,0.0,0.929538779226629,-0.36872436577187084
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641117477)",world,ego_car,122.98610582828242,142.02348457718728,0.0,-0.0,0.0,0.9295389166519024,-0.3687240193282881
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=649958043)",world,ego_car,122.98611692680741,142.0234186718619,0.0,-0.0,0.0,0.9295413081480888,-0.36871799040233966
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=660422978)",world,ego_car,122.98610073912147,142.02338596317597,0.0,-0.0,0.0,0.9295386291458722,-0.3687247441189874
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=670573305)",world,ego_car,122.98608480837666,142.02335367490548,0.0,-0.0,0.0,0.9295343734539955,-0.36873547234770915
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=680296714)",world,ego_car,122.98606913199528,142.02332180493246,0.0,-0.0,0.0,0.9295305078026254,-0.3687452170051753
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=689939223)",world,ego_car,122.9860116277773,142.02338105015045,0.0,-0.0,0.0,0.929531765937786,-0.36874204549058565
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=700715430)",world,ego_car,122.98599525709237,142.02335012061434,0.0,-0.0,0.0,0.9295301665114589,-0.3687460773285317
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=709956354)",world,ego_car,122.98556577016625,142.02353170984674,0.0,-0.0,0.0,0.9295350635965806,-0.36873373258287745
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=720189282)",world,ego_car,122.98554480983935,142.02350405234824,0.0,-0.0,0.0,0.9295318262566411,-0.36874189343766456
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=730030599)",world,ego_car,122.98552415017073,142.023476757353,0.0,-0.0,0.0,0.9295283814834079,-0.36875057697152974
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=739948486)",world,ego_car,122.98545015687004,142.0234444583222,0.0,-0.0,0.0,0.9295264502363321,-0.36875544512731423
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=750178680)",world,ego_car,122.98542897951508,142.0234172568836,0.0,-0.0,0.0,0.9295201897894451,-0.36877122552307967
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=760301892)",world,ego_car,122.9854081022363,142.02339041069135,0.0,-0.0,0.0,0.9295138312698673,-0.36878725232579906
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=770007034)",world,ego_car,122.98538752291377,142.02336391784272,0.0,-0.0,0.0,0.9295085800496273,-0.36880048754594347
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=780257577)",world,ego_car,122.98536723935071,142.0233377763693,0.0,-0.0,0.0,0.9295041031054643,-0.368811770839959
