stamp,latitude,longitude,altitude,status,service,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_9,position_covariance_type
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401035808)",36.587741777253854,-121.75527257416111,199.31871359433717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=411040392)",36.58774177744807,-121.75527257396408,199.31872746946829,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=421041928)",36.58774177769718,-121.75527257367213,199.31874686743504,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431044256)",36.58774177766171,-121.75527257330651,199.31873585492212,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=441044488)",36.58774177770688,-121.75527257316011,199.31872912113977,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451048072)",36.587741777939286,-121.75527257297969,199.31875370308467,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461048864)",36.58774177796752,-121.75527257246135,199.31875710397617,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471050376)",36.587741777998,-121.75527257206411,199.3187501298853,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481049096)",36.58774177790319,-121.75527257190156,199.31875068061345,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491051680)",36.587741777942014,-121.75527257178156,199.3187697601643,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=501053472)",36.58774177812917,-121.75527257118486,199.3187962432603,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
